Date,Product_Category,Price,Discount_Percent,Final_Price,Ad_Spend_PPC,Stock_Level,Amazon_Buy_Box_Percentage,FBA_Status,Day_Of_Week,Is_Holiday,Weather,Season,Units_Sold,High_Demand
2023-01-01 00:00:00.000000,"Clothing, Shoes & Jewelry",28.91,0.5,14.45,20.75,595,0.9,FBA,6,0,Rain,1,315,1
2023-01-01 00:52:25.274527,Sports & Outdoors,440.65,0.0,440.65,63.3,891,0.12,FBM,6,0,Cloudy,1,51,0
2023-01-01 01:44:50.549054,Beauty & Personal Care,164.32,0.0,164.32,42.56,430,0.44,FBA,6,0,Cloudy,1,143,0
2023-01-01 02:37:15.823582,Sports & Outdoors,73.2,0.0,73.2,1.61,604,0.72,FBM,6,0,Cloudy,1,80,0
2023-01-01 03:29:41.098109,Sports & Outdoors,239.55,0.0,239.55,2.82,488,0.32,FBA,6,0,Clear,1,101,0
2023-01-01 04:22:06.372637,Home & Kitchen,303.17,0.05,288.01,47.11,665,0.23,FBM,6,0,Cloudy,1,58,0
2023-01-01 05:14:31.647164,Beauty & Personal Care,25.18,0.15,21.4,18.32,105,0.67,FBA,6,0,Rain,1,232,1
2023-01-01 06:06:56.921692,Beauty & Personal Care,144.7,0.2,115.76,58.5,869,0.91,FBA,6,0,Clear,1,266,1
2023-01-01 06:59:22.196219,Beauty & Personal Care,26.07,0.0,26.07,40.82,208,0.96,Amazon Retail,6,0,Clear,1,106,0
2023-01-01 07:51:47.470747,Sports & Outdoors,215.96,0.0,215.96,65.44,715,0.11,FBM,6,0,Clear,1,126,0
2023-01-01 08:44:12.745274,"Clothing, Shoes & Jewelry",448.6,0.0,448.6,95.24,759,0.89,FBA,6,0,Clear,1,212,0
2023-01-01 09:36:38.019801,Beauty & Personal Care,491.5,0.0,491.5,52.87,347,0.6,FBA,6,0,Clear,1,129,0
2023-01-01 10:29:03.294329,Sports & Outdoors,322.15,0.1,289.94,78.74,904,0.31,FBA,6,0,Rain,1,180,0
2023-01-01 11:21:28.568856,Home & Kitchen,89.2,0.0,89.2,75.3,351,0.66,FBM,6,0,Clear,1,114,0
2023-01-01 12:13:53.843384,"Clothing, Shoes & Jewelry",453.87,0.15,385.79,92.18,737,1.0,FBA,6,0,Rain,1,211,0
2023-01-01 13:06:19.117911,Home & Kitchen,262.96,0.05,249.81,21.4,847,0.35,FBA,6,0,Clear,1,87,0
2023-01-01 13:58:44.392439,"Clothing, Shoes & Jewelry",85.34,0.0,85.34,82.73,47,0.35,FBA,6,0,Cloudy,1,165,0
2023-01-01 14:51:09.666966,Sports & Outdoors,461.65,0.05,438.56,90.55,245,0.73,FBA,6,0,Clear,1,214,0
2023-01-01 15:43:34.941494,Electronics,571.74,0.0,571.74,39.28,30,0.14,FBA,6,0,Cloudy,1,91,0
2023-01-01 16:36:00.216021,"Clothing, Shoes & Jewelry",368.54,0.0,368.54,31.38,694,0.84,FBA,6,0,Clear,1,166,0
2023-01-01 17:28:25.490549,Home & Kitchen,357.5,0.15,303.87,95.2,474,0.69,FBA,6,0,Clear,1,220,1
2023-01-01 18:20:50.765076,Sports & Outdoors,108.17,0.0,108.17,62.76,476,0.86,FBA,6,0,Cloudy,1,263,1
2023-01-01 19:13:16.039603,"Clothing, Shoes & Jewelry",113.39,0.0,113.39,38.07,256,0.31,FBM,6,0,Clear,1,125,0
2023-01-01 20:05:41.314131,Electronics,520.9,0.15,442.76,79.18,125,0.86,FBA,6,0,Cloudy,1,187,0
2023-01-01 20:58:06.588658,Electronics,176.5,0.0,176.5,30.45,218,0.5,FBA,6,0,Cloudy,1,109,0
2023-01-01 21:50:31.863186,Beauty & Personal Care,224.95,0.15,191.21,17.64,244,0.22,FBA,6,0,Clear,1,142,0
2023-01-01 22:42:57.137713,Beauty & Personal Care,393.18,0.0,393.18,54.4,479,0.91,FBA,6,0,Clear,1,169,0
2023-01-01 23:35:22.412241,Home & Kitchen,394.14,0.0,394.14,56.62,442,0.73,Amazon Retail,6,0,Clear,1,142,0
2023-01-02 00:27:47.686768,"Clothing, Shoes & Jewelry",232.1,0.2,185.68,82.57,650,0.25,FBA,0,0,Rain,1,167,0
2023-01-02 01:20:12.961296,"Clothing, Shoes & Jewelry",398.17,0.15,338.45,45.7,500,0.32,FBA,0,0,Clear,1,187,0
2023-01-02 02:12:38.235823,Beauty & Personal Care,420.92,0.0,420.92,81.46,226,0.34,FBA,0,0,Rain,1,143,0
2023-01-02 03:05:03.510351,"Clothing, Shoes & Jewelry",330.84,0.0,330.84,31.13,897,0.97,Amazon Retail,0,0,Rain,1,105,0
2023-01-02 03:57:28.784878,"Clothing, Shoes & Jewelry",121.93,0.2,97.54,57.54,813,0.9,FBA,0,1,Rain,1,363,1
2023-01-02 04:49:54.059405,Electronics,216.4,0.0,216.4,20.85,768,0.41,FBA,0,0,Clear,1,134,0
2023-01-02 05:42:19.333933,Beauty & Personal Care,164.27,0.05,156.06,38.54,254,0.52,Amazon Retail,0,0,Clear,1,99,0
2023-01-02 06:34:44.608460,Sports & Outdoors,67.23,0.15,57.15,85.75,69,0.36,FBA,0,1,Clear,1,379,1
